,年,月,日,種類,結算日,到期月份(週別)
479,2015,04,22,TX4,2015-04-22 13:30:00,201504W4
480,2015,04,15,TXO,2015-04-15 13:30:00,201504
481,2015,04,08,TX2,2015-04-08 13:30:00,201504W2
482,2015,04,01,TX1,2015-04-01 13:30:00,201504W1
483,2015,03,25,TX4,2015-03-25 13:30:00,201503W4
484,2015,03,18,TXO,2015-03-18 13:30:00,201503
485,2015,03,11,TX2,2015-03-11 13:30:00,201503W2
486,2015,03,04,TX1,2015-03-04 13:30:00,201503W1
487,2015,02,25,TX4,2015-02-25 13:30:00,201502W4
488,2015,02,24,TXO,2015-02-24 13:30:00,201502
489,2015,02,11,TX2,2015-02-11 13:30:00,201502W2
490,2015,02,04,TX1,2015-02-04 13:30:00,201502W1
491,2015,01,28,TX4,2015-01-28 13:30:00,201501W4
492,2015,01,21,TXO,2015-01-21 13:30:00,201501
493,2015,01,14,TX2,2015-01-14 13:30:00,201501W2
494,2015,01,07,TX1,2015-01-07 13:30:00,201501W1
