,價平檔位,時間分組,買賣權別,average_iv,std_iv
88,-800.0,6 days 00:00:00,P,0.2306,0.03733523804664972
89,-800.0,6 days 04:30:00,C,0.14116,0.02170659521578796
90,-750.0,0 days 00:45:00,C,1.1633,0.21170777028725224
91,-750.0,0 days 00:45:00,P,0.0,
92,-750.0,0 days 01:00:00,C,1.4467,
93,-750.0,0 days 01:00:00,P,0.0,
94,-750.0,0 days 01:30:00,C,0.82194,0.1131561001448883
95,-750.0,0 days 04:30:00,C,0.59925,0.07249861082412935
96,-750.0,0 days 04:30:00,P,0.0,0.0
97,-750.0,1 days 00:30:00,C,0.27240000000000003,0.08291282570668224
98,-750.0,1 days 00:30:00,P,0.3687,
99,-750.0,1 days 04:30:00,C,0.2681411764705882,0.05473568373126815
100,-750.0,1 days 04:30:00,P,0.21465,0.30356094116338483
101,-750.0,2 days 00:30:00,C,0.22247692307692307,0.14976930679017733
102,-750.0,2 days 00:30:00,P,0.48165,0.24430539289995218
103,-750.0,2 days 04:30:00,C,0.22010526315789475,0.0692693572920171
104,-750.0,2 days 04:30:00,P,0.29905,0.020576807332528545
105,-750.0,5 days 00:30:00,C,0.15187619047619047,0.02720707453516281
106,-750.0,5 days 00:30:00,P,0.2172,
107,-750.0,5 days 04:30:00,C,0.14992,0.025144714487674476
108,-750.0,5 days 04:30:00,P,0.0935,0.1322289680818844
109,-750.0,6 days 00:00:00,C,0.1361095238095238,0.0168791855479435
110,-750.0,6 days 00:00:00,P,0.15000000000000002,0.004384062043356593
111,-750.0,6 days 04:30:00,C,0.1448548387096774,0.023428683825739167
112,-700.0,0 days 00:45:00,C,1.2319,0.25588917523021576
113,-700.0,0 days 00:45:00,P,0.7643,1.0808834257217566
114,-700.0,0 days 01:00:00,C,1.2294749999999999,0.3076791442937486
115,-700.0,0 days 01:30:00,C,0.8083333333333332,0.19384030368665162
116,-700.0,0 days 04:30:00,C,0.5578333333333334,0.08053555115599571
117,-700.0,0 days 04:30:00,P,0.13472,0.30124307792877164
118,-700.0,1 days 00:30:00,C,0.2858625,0.08125163624726055
119,-700.0,1 days 00:30:00,P,0.3136,
120,-700.0,1 days 04:30:00,C,0.2424,0.05752112655364114
121,-700.0,1 days 04:30:00,P,0.4276,
122,-700.0,2 days 00:30:00,C,0.20099,0.032015150927160854
123,-700.0,2 days 04:30:00,C,0.2103625,0.06249909086295297
124,-700.0,2 days 04:30:00,P,0.0,
125,-700.0,5 days 00:30:00,C,0.14352222222222222,0.025343140516554567
126,-700.0,5 days 00:30:00,P,0.0806,0.11398561312727147
127,-700.0,5 days 04:30:00,C,0.1467166666666667,0.03146110991019879
128,-700.0,5 days 04:30:00,P,0.10655,0.1506844550708533
129,-700.0,6 days 00:00:00,C,0.13613703703703703,0.02692905420013782
130,-700.0,6 days 00:00:00,P,0.2629,
131,-700.0,6 days 04:30:00,C,0.1366153846153846,0.023107432598528693
132,-700.0,6 days 04:30:00,P,0.08915,0.12607713908556142
133,-650.0,0 days 00:45:00,C,1.1468399999999999,0.15293998169216566
134,-650.0,0 days 00:45:00,P,0.0,
135,-650.0,0 days 01:00:00,C,0.7185,
