,_id_option,成交日期_option,商品代號_option,履約價格,到期月份(週別)_option,買賣權別,時間,選擇權_開盤價,選擇權_收盤價,選擇權_最高價,選擇權_最低價,選擇權_成交量,_id_future,商品代號_future,到期月份(週別)_future,期貨_開盤價,期貨_收盤價,期貨_最高價,期貨_最低價,期貨_成交量,成交日期_future,_id,分鐘時間,指數_開盤價,指數_收盤價,指數_最高價,指數_最低價,到期月份(週別),結算日,差異,整天數,時間代碼_x,vix,時間代碼_y,公債,T,參考s,bs_price,delta,gamma,vega,rho,theta,iv,價平差距,價平檔位
1801612,66c71cf03cc6062245a7d4e0,20240612,TX2,21750.0,202406W2,P,2024-06-12 08:45:00,21.0,21.0,22.5,21.0,5.0,66c71dafb16f011d3691327a,TX,202406.0,21832.0,21832.0,21833.0,21828.0,328.0,2024-06-12,,,,,,,202406W2,2024-06-12 13:30:00,0 days 04:45:00,0,20240612,0.1775,20240612,0.0161,0.0007853835978835978,21832.0,13.997609340076451,-0.2231763,0.0027489,182.650711,-3.837684,-20561.244130856772,0.214,82.0,100.0
1801613,66c71cf03cc6062245a8071f,20240612,TX2,22200.0,202406W2,P,2024-06-12 08:45:00,360.0,360.0,360.0,360.0,1.0,66c71dafb16f011d3691327a,TX,202406.0,21832.0,21832.0,21833.0,21828.0,328.0,2024-06-12,,,,,,,202406W2,2024-06-12 13:30:00,0 days 04:45:00,0,20240612,0.1775,20240612,0.0161,0.0007853835978835978,21832.0,367.7304644199903,-0.9996036,1.32e-05,0.8768198,-17.4285071,258.193836438466,0.0,-368.0,-400.0
1801614,66c71cf03cc6062245a7d9a4,20240612,TX2,21800.0,202406W2,C,2024-06-12 08:45:00,74.0,73.0,77.0,72.0,38.0,66c71dafb16f011d3691327a,TX,202406.0,21832.0,21832.0,21833.0,21828.0,328.0,2024-06-12,,,,,,,202406W2,2024-06-12 13:30:00,0 days 04:45:00,0,20240612,0.1775,20240612,0.0161,0.0007853835978835978,21832.0,61.331965835242954,0.6178743,0.0035119,233.3532959,10.5462088,-26585.60610556924,0.227,32.0,50.0
1801615,66c71cf03cc6062245a7a0cd,20240612,TX2,20600.0,202406W2,P,2024-06-12 08:45:00,0.2,0.2,0.2,0.2,1.0,66c71dafb16f011d3691327a,TX,202406.0,21832.0,21832.0,21833.0,21828.0,328.0,2024-06-12,,,,,,,202406W2,2024-06-12 13:30:00,0 days 04:45:00,0,20240612,0.1775,20240612,0.0161,0.0007853835978835978,21832.0,7.222836259475897e-31,0.0,0.0,0.0,-0.0,-6.405815577456472e-26,0.7059,1232.0,1250.0
1801616,66c71cf03cc6062245a7d2ca,20240612,TX2,21750.0,202406W2,C,2024-06-12 08:45:00,111.0,110.0,111.0,110.0,49.0,66c71dafb16f011d3691327a,TX,202406.0,21832.0,21832.0,21833.0,21828.0,328.0,2024-06-12,,,,,,,202406W2,2024-06-12 13:30:00,0 days 04:45:00,0,20240612,0.1775,20240612,0.0161,0.0007853835978835978,21832.0,96.2726293026899,0.7768237,0.0027489,182.650711,13.2441933,-20911.414703035374,0.2468,82.0,100.0
1801617,66c71cf03cc6062245a7e78e,20240612,TX2,21900.0,202406W2,C,2024-06-12 08:45:00,25.0,24.5,25.0,24.5,74.0,66c71dafb16f011d3691327a,TX,202406.0,21832.0,21832.0,21833.0,21828.0,328.0,2024-06-12,,,,,,,202406W2,2024-06-12 13:30:00,0 days 04:45:00,0,20240612,0.1775,20240612,0.0161,0.0007853835978835978,21832.0,17.680474911732745,0.2675813,0.0030309,201.3882816,4.574196,-22851.06870035809,0.2103,-68.0,-100.0
1801618,66c71cf03cc6062245a7c898,20240612,TX2,21650.0,202406W2,P,2024-06-12 08:45:00,6.1,6.0,6.1,6.0,62.0,66c71dafb16f011d3691327a,TX,202406.0,21832.0,21832.0,21833.0,21828.0,328.0,2024-06-12,,,,,,,202406W2,2024-06-12 13:30:00,0 days 04:45:00,0,20240612,0.1775,20240612,0.0161,0.0007853835978835978,21832.0,2.049066480832721,-0.0457136,0.0008839,58.73247,-0.7854372,-6620.791663087496,0.2264,182.0,200.0
1801619,66c71cf03cc6062245a7c398,20240612,TX2,21600.0,202406W2,P,2024-06-12 08:45:00,5.0,5.0,5.0,5.0,23.0,66c71dafb16f011d3691327a,TX,202406.0,21832.0,21832.0,21833.0,21828.0,328.0,2024-06-12,,,,,,,202406W2,2024-06-12 13:30:00,0 days 04:45:00,0,20240612,0.1775,20240612,0.0161,0.0007853835978835978,21832.0,0.6075563474264527,-0.0156701,0.000362,24.056601,-0.2691645,-2712.928808986795,0.2602,232.0,250.0
1801620,66c71cf03cc6062245a7bec7,20240612,TX2,21550.0,202406W2,P,2024-06-12 08:45:00,2.3,2.3,2.3,2.1,14.0,66c71dafb16f011d3691327a,TX,202406.0,21832.0,21832.0,21833.0,21828.0,328.0,2024-06-12,,,,,,,202406W2,2024-06-12 13:30:00,0 days 04:45:00,0,20240612,0.1775,20240612,0.0161,0.0007853835978835978,21832.0,0.15002502226954562,-0.0044144,0.0001191,7.9165719,-0.0758094,-893.0352283471976,0.2592,282.0,300.0
1801621,66c71cf03cc6062245a7bb62,20240612,TX2,21500.0,202406W2,P,2024-06-12 08:45:00,1.6,1.6,1.6,1.6,10.0,66c71dafb16f011d3691327a,TX,202406.0,21832.0,21832.0,21833.0,21828.0,328.0,2024-06-12,,,,,,,202406W2,2024-06-12 13:30:00,0 days 04:45:00,0,20240612,0.1775,20240612,0.0161,0.0007853835978835978,21832.0,0.030615797469884853,-0.0010158,3.15e-05,2.0899042,-0.017441,-235.80604654737235,0.2792,332.0,350.0
1801622,66c71cf03cc6062245a7c209,20240612,TX2,21600.0,202406W2,C,2024-06-12 08:45:00,240.0,240.0,240.0,240.0,1.0,66c71dafb16f011d3691327a,TX,202406.0,21832.0,21832.0,21833.0,21828.0,328.0,2024-06-12,,,,,,,202406W2,2024-06-12 13:30:00,0 days 04:45:00,0,20240612,0.1775,20240612,0.0161,0.0007853835978835978,21832.0,232.88067962064815,0.9843299,0.000362,24.056601,16.6949067,-3060.684411702096,0.2896,232.0,250.0
